店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議,周遭潛點,連結,星級,評論數量,AI評論,評論連結,預覽圖路徑
國傑工程企業有限公司,null,北部地區,基隆市,202基隆市中正區北寧路362-1號,25.13971217,121.7923281,09:00,17:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘客運至基隆火車站>搭乘客運至嶺林港>步行一分鐘抵達,鋼鐵礁、海建號沈船、油庫口,"https://www.google.com.tw/maps/place/%E5%9C%8B%E5%82%91%E5%B7%A5%E7%A8%8B%E4%BC%81%E6%A5%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/@25.1400249,121.789941,17z/data=!3m1!4b1!4m6!3m5!1s0x345d4f9e65b498b5:0x87666d5a4be211c1!8m2!3d25.1400201!4d121.7925159!16s%2Fg%2F1pzpj0ps8?entry=ttu",4.4,48,1.優質的服務\n2.價格親民\n3.可愛的店狗,"https://www.google.com/search?q=%E5%9C%8B%E5%82%91%E5%B7%A5%E7%A8%8B%E4%BC%81%E6%A5%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%9C%8B%E5%82%91%E5%B7%A5%E7%A8%8B%E4%BC%81%E6%A5%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgcIAhAAGIAEMggIAxAAGA8YHtIBBzQ2NGowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x345d4f9e65b498b5:0x87666d5a4be211c1,1,,,,",img/store_img/22.jpg
利峰國際潛水,null,北部地區,基隆市,202基隆市中正區北寧路275巷12號,25.14046974,121.7938945,09:00,17:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘火車至瑞芳車站>搭乘客運至嶺林港>步行一分鐘抵達,基隆平浪橋、花園二號、鋼鐵屋,https://www.facebook.com/LF8888/,5,8,1.細心專業的潛水證照單位\n2.注重安全\n3.好地方,"https://www.google.com/search?q=%E5%88%A9%E5%B3%B0%E5%9C%8B%E9%9A%9B%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBgtgrkVc6-CRYul3QXBgQ5bi0Nlzw%3A1691476938990&ei=yuPRZOWSPI3_hwPctLCADQ&ved=0ahUKEwjln-DQusyAAxWN_2EKHVwaDNAQ4dUDCBA&uact=5&oq=%E5%88%A9%E5%B3%B0%E5%9C%8B%E9%9A%9B%E6%BD%9B%E6%B0%B4&gs_lp=Egxnd3Mtd2l6LXNlcnAiEuWIqeWzsOWci-mam-a9m-awtDILEC4YgAQYxwEYrwEyGhAuGIAEGMcBGK8BGJcFGNwEGN4EGOAE2AEBSLERUOAJWOAJcAF4AJABAJgBX6ABX6oBATG4AQPIAQD4AQH4AQKoAgrCAgcQIxjqAhgn4gMEGAAgQYgGAboGBggBEAEYFA&sclient=gws-wiz-serp#lrd=0x345d4f7152ddbd13:0x1ca5abf30b6013ea,1,,,,",img/store_img/23.jpg
潮海致境潛水中心,Chaojing,北部地區,基隆市,202301基隆市中正區北寧路396巷6號,25.13997441,121.7970879,07:30,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘火車至瑞芳車站>搭乘客運至八斗子>步行一分鐘抵達,花牆、鋼鐵礁、鋼鐵屋,https://elmodiving.com/,5,44,1.展哥很幽默風趣，教練很用心，裝備很新\n2.潛店維持小團教學和帶潛，服務非常好\n3.能見度很好，看到了美麗的魚群和海龜,"https://www.google.com/search?q=%E6%BD%AE%E6%B5%B7%E8%87%B4%E5%A2%83%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%BD%AE%E6%B5%B7%E8%87%B4%E5%A2%83%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgATSAQc0NjBqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x345d4f9a6f8f84ab:0x9d242cdf9ccb148a,1,,,,",img/store_img/24.jpg
揪潛水,null,北部地區,基隆市,202基隆市中正區北寧路424號,25.14044061,121.7981179,null,null,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘捷運至市政府>搭乘客運至調和市場>步行四分鐘抵達,祕密花園、花牆、鋼鐵礁,https://www.facebook.com/divemateclub/?locale=zh_TW,4.3,95,1.教練都很細心，值得推薦\n2.很有理念的潛店，對海洋與環保盡一分力\n3.店裡的大頭教練很厲害，對雀鯛還特別懂,"https://www.google.com/search?q=%E6%8F%AA%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%8F%AA%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyCAgDEAAYBRge0gEHMTUxajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x345d4f7850a4d561:0xca88af89c96215ca,1,,,,",img/store_img/25.jpg
東北角潛水客棧,Divers Inn,北部地區,新北市,228新北市貢寮區龍洞街64號,25.11929712,121.9237502,07:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘火車至松山車站>搭乘客運至金瓜石>搭乘公車至龍洞灣公園>步行一分鐘抵達,蚊子坑、水晶宮、玫瑰花園,https://inn.divers.com.tw/,4.3,312,1.美麗的海底景觀\n2.專業的潛水指導\n3.舒適的設施,"https://www.google.com/search?q=%E6%9D%B1%E5%8C%97%E8%A7%92%E6%BD%9B%E6%B0%B4%E5%AE%A2%E6%A3%A7&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%9D%B1%E5%8C%97%E8%A7%92%E6%BD%9B%E6%B0%B4%E5%AE%A2%E6%A3%A7&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBwgDEAAYgAQyCAgEEAAYDxgeMgYIBRAAGB4yCAgGEAAYDxgeMgYIBxBFGDvSAQcxMzlqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x345d4377cd72d349:0x1f6cd385bb316ec7,1,,,,",img/store_img/26.jpg
88K潛水中心,null,北部地區,新北市,228新北市貢寮區龍洞街60-3號 ,25.11803428,121.9143847,06:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘火車至松山車站>搭乘客運至金瓜石>搭乘公車至龍洞灣公園>步行兩分鐘抵達,龍洞2號、龍洞3號、龍洞4號,https://www.facebook.com/profile.php?id=234376976577757&paipv=0&eav=Afbd5KVzycZv1BsGqL5hbUd4vS174TFbNK8wUYCoD_G2JLq-raz2FXyDih4ljE-FryU&_rdr,4.5,22,1.離潛點近\n2.提供氣瓶租借和潛水教學\n3.老闆和員工都非常客氣,"https://www.google.com/search?rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBiSR6mTTdgJzHCevBlwlWeZT_z75Q:1691478428328&q=WATER+WORLD+DIVING/KC+DIVING&ludocid=17563401364752417132&lsig=AB86z5V3XVVe1uuM6rdnA4uCELMW&sa=X&ved=2ahUKEwjX__WWwMyAAxWvmFYBHfscCI0QoAJ6BAgVEAc&biw=1707&bih=830&dpr=1.13#lrd=0x345d439c9502b099:0xf3bdbc7c81adc16c,1,,,,",img/store_img/27.jpg
神豬海底漫遊潛水訓練中心,null,北部地區,新北市,221新北市汐止區水源路一段155號1樓,25.06723098,121.6631848,09:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘火車至汐止車站>步行十分鐘抵達,蝙蝠洞公園、龍洞1號、龍洞3號,https://www.facebook.com/G.P.diving/?locale=zh_TW,5,5,1.教練耐心仔細回答問題，每次聊天都可以學到很多\n2.沒有強迫推銷，教練幫忙評估適合的裝備，不花冤枉錢\n3.經驗豐富又親切幽默的教練，舒適又合理的教學環境,"https://www.google.com/search?q=%E7%A5%9E%E8%B1%AC%E6%B5%B7%E5%BA%95%E6%BC%AB%E9%81%8A%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%A5%9E%E8%B1%AC%E6%B5%B7%E5%BA%95%E6%BC%AB%E9%81%8A%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgcIARAAGKIEMgcIAhAAGKIEMgYIAxBFGDvSAQcxMjlqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x345d5369416fbc79:0xa6d8059e000a9695,1,,,,",img/store_img/28.jpg
四分之一潛水訓練中心,Quarter Diving,北部地區,新北市,24149新北市三重區河邊北街108號,25.08515231,121.5061375,13:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘客運至長生街口>步行九分鐘抵達,龍洞灣、龍洞1號、龍洞1.5號,https://www.quarter-diving.com/,4.9,86,1.教練們耐心細心地指導和照顧每個人\n2.旅程安排充實且節省時間\n3.團隊氛圍友善舒適，認識很多很棒的人,"https://www.google.com/search?q=%E5%9B%9B%E5%88%86%E4%B9%8B%E4%B8%80%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%9B%9B%E5%88%86%E4%B9%8B%E4%B8%80%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBggDEEUYO9IBBzE4MmowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3442a91c5a70ea5d:0x69e20a0375f9b048,1,,,,",img/store_img/29.png
飛漩潛水,Fashion Diving,北部地區,新北市,247新北市蘆洲區中山二路137巷9號1樓,25.10837306,121.474786,13:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘客運至民生街口>步行三分鐘抵達,鼻頭角公園、蝙蝠洞公園、水晶宮,https://www.facebook.com/fashionscubadiving/,5,15,1.教練專業又親切\n2.考照經驗很棒\n3.有耐心指導,"https://www.google.com/search?q=%E9%A3%9B%E6%BC%A9%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E9%A3%9B%E6%BC%A9%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgYIAhBFGDsyBggDEEUYPdIBBzc1M2owajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3442a9103663679d:0xe843ab475ed5a688,1,,,,",img/store_img/30.jpg
悠潛潛水,U-Diving,北部地區,新北市,242新北市新莊區頭前路No. 60-3號,25.05891354,121.4684916,14:00,20:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘客運至頭前國小>步行兩分鐘抵達,龍洞灣、水晶宮、象鼻岩放流點,https://www.u-diving.com.tw/index.html,4.6,286,1.服務員擅於推銷、解說商品\n2.價格真的很優惠\n3.店內還有幾隻可愛的貓貓,"https://www.google.com/search?q=%E6%82%A0%E6%BD%9B%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%82%A0%E6%BD%9B%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMggIAhAAGAUYHjIGCAMQRRg70gEHMTUxajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x3442a88b3b52b5b9:0x5ee9a7d1c8c3c68d,1,,,,",img/store_img/31.jpg
海玩子潛水訓練中心,null,北部地區,新北市,220新北市板橋區光武街136巷8弄6號1樓,25.03776326,121.4652985,11:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>步行至新民里>搭乘客運至長生路>步行九分鐘抵達,龍洞2號、龍洞3號、龍洞4號,https://www.facebook.com/profile.php?id=100054868325384,4.6,23,1.老闆服務周到，使命必達，貼心\n2.教練帥氣且專業\n3.教練資深、專業、細心，店內潛水用具價格合理,"https://www.google.com/search?q=%E6%B5%B7%E7%8E%A9%E5%AD%90%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B5%B7%E7%8E%A9%E5%AD%90%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTINCAEQLhivARjHARiABDIGCAIQRRg7MgYIAxBFGD3SAQcxODRqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3442a86ae6af5bf5:0x19816151575954d0,1,,,,",img/store_img/32.png
臺灣潛水Taipei,Taiwan Diving Center,北部地區,新北市,220新北市板橋區縣民大道三段187巷14號,25.032514,121.4922064,15:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘客運至雙十路口>步行兩分鐘抵達,蝙蝠洞公園、龍洞1號、龍洞3號,https://www.taiwan-dive.com/,4.2,14,1.專業的潛水教練和總監\n2.小班制預約教學，教學品質超好\n3.提供接送服務和優惠的潛水相關用品,"https://www.google.com/search?q=%E5%8F%B0%E7%81%A3%E6%BD%9B%E6%B0%B4Taipei&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%8F%B0%E7%81%A3%E6%BD%9B%E6%B0%B4Taipei&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDvSAQcxMzZqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3442a844f6bfb47b:0xc4167392bd46cd9d,1,,,,",img/store_img/33.png
藍星海洋潛水俱樂部,Bluegalaxsea,北部地區,新北市,235新北市中和區南山路27號,25.00422248,121.5028494,11:00,20:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘客運至廟美里>步行六分鐘抵達,龍洞2號、龍洞3號、龍洞4號,https://www.bluegalaxsea.com/#/,5,43,1.教練們很有耐心且課程講解仔細\n2.手機服務態度很好且換電池很快\n3.老闆服務好且親切,"https://www.google.com/search?q=%E8%97%8D%E6%98%9F%E6%B5%B7%E6%B4%8B%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E8%97%8D%E6%98%9F%E6%B5%B7%E6%B4%8B%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDvSAQczNTVqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3442a90ef516c3f5:0xa3337638fc258b5f,1,,,,",img/store_img/34.jpg
52龍洞/52LDNAUI Diving Center,52LDNAUI Diving Center,北部地區,新北市,228新北市貢寮區龍洞街52號,25.11529482,121.9155849,06:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘火車至七堵車站>搭乘火車至瑞芳火車站>搭乘客運至龍洞街口>步行兩分鐘抵達,鼻頭角公園、蝙蝠洞公園、水晶宮,https://www.facebook.com/52LDNAUI/?locale=zh_TW,4.5,109,1.密集訓練兩天考到證照，非常值得\n2.教練耐心教導，潛水能力有進步\n3.安全的教學體驗，教練貼心照顧,"https://www.google.com/search?q=52%E9%BE%8D%E6%B4%9E&rlz=1C1CHBF_zh-TWTW901TW901&oq=52%E9%BE%8D%E6%B4%9E&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyBwgFEAAYgATSAQgxMjE1ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x345d4377ef2cd62f:0xb1d840dc4bbe30a9,1,,,,",img/store_img/35.jpg
La潛水訓練中心,null,北部地區,新北市,228新北市貢寮區和美街71號,25.07852937,121.9211979,10:00,20:30,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘火車至七堵車站>搭乘火車至福隆車站>搭乘客運至金沙灣>步行兩分鐘抵達,龍洞灣、龍洞1.5號、象鼻岩放流區,https://www.facebook.com/balihidive/?locale=zh_TW,4.5,53,1.教練有耐心且態度很好\n2.設施乾淨、價格合理\n3.老闆友善且樂於幫助,"https://www.google.com/search?rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBgj9wdp0uMYhfw66uwhu4G4fhGnnQ:1691548664994&q=Bali-Hi%E6%BD%9B%E6%B0%B4%E4%BC%91%E9%96%92%E4%B8%AD%E5%BF%83&spell=1&sa=X&ved=2ahUKEwjQ96_qxc6AAxVJcvUHHeTNAj4QBSgAegQICBAB&biw=1707&bih=830&dpr=1.13#lrd=0x345d4345344e49bd:0x72ef22acea800d8c,1,,,,",img/store_img/36.jpg
逐海俱樂部,null,北部地區,新北市,241新北市三重區富華街81號1樓,25.08806695,121.5030189,15:00,23:30,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘客運至慈化公園>步行六分鐘抵達,水晶宮、象鼻岩放流點、玫瑰花園,https://www.facebook.com/oceantracerclub/,3.8,4,1.價格不透明\n2.教練根本沒在顧\n3.老闆友善親切,"https://www.google.com/search?q=%E9%80%90%E6%B5%B7%E4%BF%B1%E6%A8%82%E9%83%A8%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBjYVZDr33wuNyYBysWHqbPLapoDIQ%3A1691559201867&ei=ISXTZJDKNMzw-QbUl5T4DQ&oq=%E9%80%90%E6%B5%B7%E4%BF%B1%E6%A8%82%E9%83%A8&gs_lp=Egxnd3Mtd2l6LXNlcnAiD-mAkOa1t-S_seaogumDqCoCCAAyBxAjGLADGCdIkwdQAFgAcAF4AJABAJgBT6ABT6oBATG4AQHIAQDiAwQYASBBiAYBkAYB&sclient=gws-wiz-serp#lrd=0x3442a8b90bf41197:0x68b77a28dabc3006,1,,,,",img/store_img/37.jpg
88潛水俱樂部,null,北部地區,新北市,23578新北市中和區景德街88號,24.99879676,121.5373512,null,null,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘捷運至景平>步行三分鐘抵達,蚊子坑、水晶宮、玫瑰花園,https://www.facebook.com/88fundiving/?locale=zh_TW,4.8,16,1.教練非常仔細教導每個環節\n2.北部優質潛水俱樂部\n3.拍到很漂亮的海底生物,"https://www.google.com/search?q=88%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&rlz=1C1CHBF_zh-TWTW901TW901&oq=88%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBggCEEUYO9IBBzU5MmowajSoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3468020b121af9db:0xdabf1e8f26ad42e2,1,,,,",img/store_img/38.jpg
891新莊潛水家,null,北部地區,新北市,242新北市新莊區中正路891之29號2樓,25.0399601,121.3634028,10:00,20:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘火車至樹林車站>搭乘客運至中正龍安路口>步行兩分鐘抵達,龍洞2號、蚊子坑、水晶宮,https://www.facebook.com/891DIVING/,4.9,18,1.蛙鞋cp值高，舒適好踢\n2.潛水用品多樣，品質好而且價格實惠\n3.環境舒適，專業的潛水活動資訊和安排,"https://www.google.com/search?q=891%E6%96%B0%E8%8E%8A%E6%BD%9B%E6%B0%B4%E5%AE%B6&rlz=1C1CHBF_zh-TWTW901TW901&oq=891%E6%96%B0%E8%8E%8A%E6%BD%9B%E6%B0%B4%E5%AE%B6&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgYIAhBFGDvSAQc1ODdqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3442a703987d8ab5:0xb843c8c3688668e6,1,,,,",img/store_img/39.png
海底玩家潛水訓練中心,Under Sea Player center,北部地區,新北市,234新北市永和區中山路一段193-1號,25.02047434,121.5436792,12:30,20:30,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘客運至保生路口>步行四分鐘抵達,蝙蝠洞公園、龍洞1號、龍洞3號,https://www.facebook.com/uspc.diving,4.8,37,1.學習與練習過程很扎實\n2.像家一樣的優秀潛店\n3.服務物超所值且極度用心的地方,"https://www.google.com/search?q=%E6%B5%B7%E5%BA%95%E7%8E%A9%E5%AE%B6%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B5%B7%E5%BA%95%E7%8E%A9%E5%AE%B6%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBggDEEUYO9IBBzYyNWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3442a9c342671fb3:0xff9369140647c35,1,,,,",img/store_img/40.png
鬥陣潛水,null,北部地區,臺北市,115臺北市南港區玉成街40號,25.05658804,121.5845202,10:00,22:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘火車至松山車站>步行四分鐘抵達,蚊子坑、水晶宮、龍洞灣,https://www.joindiving.com.tw/h/Index?key=656715000196&gclid=Cj0KCQjwzdOlBhCNARIsAPMwjbxb__UgSlVu-7xd-rWRlV15_s0RB_u4bI0270t9NiBFE3NMNQSwBiEaApAAEALw_wcB,4.8,181,1.教練專業，下水前巡視裝備，下水後保證安全\n2.鬥陣潛水在全臺潛點都有很棒的體驗，價格實惠\n3.教練們細心教導，讓人感到放心，還有貼心的服務,"https://www.google.com/search?q=%E9%AC%A5%E9%99%A3%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E9%AC%A5%E9%99%A3%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgcIARAAGIAEMgcIAhAAGIAEMgcIAxAAGIAEMg0IBBAuGK8BGMcBGIAEMgcIBRAAGIAEMgcIBhAAGIAEMgcIBxAAGIAEMgcICBAAGIAEMgcICRAAGIAE0gEHMjU5ajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x3442ab9e0a5bcf41:0xeaf4d9428a35aeff,1,,,,",img/store_img/41.jpg
亞潮潛水中心,null,北部地區,臺北市,116臺北市文山區興隆路一段235號,25.00098942,121.5656797,13:30,21:30,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘客運至憲光公寓>步行一分鐘抵達,水晶宮、象鼻岩放流點、玫瑰花園,https://subtidal.divers.com.tw/,4.6,133,1.教練專業、細心又有耐心\n2.上課輕鬆歡樂，有茶水和小點心\n3.教練們親切專業且有耐心,"https://www.google.com/search?q=%E4%BA%9E%E6%BD%AE%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E4%BA%9E%E6%BD%AE%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgcIAhAAGIAEMgYIAxBFGDvSAQc5MjVqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3442a98ac9ca6e47:0x6ca5a0bf49e5c130,1,,,,",img/store_img/42.jpg
iDiving愛潛水,iDiving,北部地區,臺北市,111臺北市士林區前港街8號,25.09927945,121.5339093,14:00,22:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘客運至捷運劍潭站>步行五分鐘抵達,龍洞2號、蚊子坑、水晶宮,https://www.idiving.com.tw/#/,4.9,331,1.教練們很仔細講解，有問題也會詳細再解釋\n2.教練們平易近人，上課過程輕鬆自在無壓力\n3.教練教學認真又有耐心，且隨時關心學員狀況,"https://www.google.com/search?q=iDiving%E6%84%9B%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=iDiving%E6%84%9B%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzg2MWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3442aeb19cfb73bb:0x8de3cdceabbe6ef6,1,,,,",img/store_img/43.png
臺灣潛伴俱樂部,Taiwan Dive Buddy,北部地區,臺北市,111臺北市士林區中山北路五段735號1號樓號,25.10294377,121.5255641,10:00,19:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>步行至行政院>搭乘客運至福林國小>步行六分鐘抵達,蚊子坑、水晶宮、玫瑰花園,https://www.taiwandivebuddy.com/aboutus,4.9,58,1.學到了很多技能，還獲得了6張免費氣罐券\n2.教練很細心，樂於助人\n3.地理位置優越，學習環境舒適,"https://www.google.com/search?q=%E5%8F%B0%E7%81%A3%E6%BD%9B%E4%BC%B4%E4%BF%B1%E6%A8%82%E9%83%A8&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%8F%B0%E7%81%A3%E6%BD%9B%E4%BC%B4%E4%BF%B1%E6%A8%82%E9%83%A8&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg70gEHNjYzajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x3442aea2a22b8a73:0xc7e2762feab04867,1,,,,",img/store_img/44.jpg
